service,fault_type,expected_root_cause,llm_root_cause,llm_correct,llm_confidence,rule_root_cause,rule_correct,fix_applied,result,mttr_seconds,manual_baseline,time_saved
auth,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,2.71,900,897.29
cart,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,2.48,900,897.52
payment,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,2.4,900,897.6
inventory,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,2.33,900,897.67
notification,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,2.34,900,897.66
auth,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.38,900,897.62
cart,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.39,900,897.61
payment,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.55,900,897.45
inventory,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.45,900,897.55
notification,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.43,900,897.57
auth,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.35,900,897.65
cart,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.7,900,897.3
payment,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.41,900,897.59
inventory,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.38,900,897.62
notification,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.44,900,897.56
auth,error,error_spike,error_spike,True,90,error_spike,True,retry_with_backoff,RECOVERED,2.47,900,897.53
cart,error,error_spike,error_spike,True,80,error_spike,True,retry_with_backoff,RECOVERED,2.47,900,897.53
payment,error,error_spike,error_spike,True,90,error_spike,True,retry_with_backoff,RECOVERED,2.42,900,897.58
inventory,error,error_spike,error_spike,True,80,error_spike,True,retry_with_backoff,RECOVERED,2.38,900,897.62
notification,error,error_spike,error_spike,True,90,error_spike,True,retry_with_backoff,RECOVERED,2.42,900,897.58
