service,fault_type,expected_root_cause,llm_root_cause,llm_correct,llm_confidence,rule_root_cause,rule_correct,fix_applied,result,mttr_seconds,manual_baseline,time_saved
auth,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,2.88,900,897.12
cart,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,2.44,900,897.56
payment,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,2.42,900,897.58
inventory,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,2.42,900,897.58
notification,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,2.41,900,897.59
auth,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.48,900,897.52
cart,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.38,900,897.62
payment,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.46,900,897.54
inventory,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.41,900,897.59
notification,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.39,900,897.61
auth,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.48,900,897.52
cart,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.38,900,897.62
payment,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.48,900,897.52
inventory,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.41,900,897.59
notification,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.49,900,897.51
auth,error,error_spike,error_spike,True,90,error_spike,True,retry_with_backoff,RECOVERED,2.52,900,897.48
cart,error,error_spike,error_spike,True,80,error_spike,True,retry_with_backoff,RECOVERED,2.4,900,897.6
payment,error,error_spike,error_spike,True,90,error_spike,True,retry_with_backoff,RECOVERED,2.47,900,897.53
inventory,error,error_spike,error_spike,True,80,error_spike,True,retry_with_backoff,RECOVERED,2.34,900,897.66
notification,error,error_spike,error_spike,True,80,error_spike,True,retry_with_backoff,RECOVERED,2.49,900,897.51
