service,fault_type,expected_root_cause,llm_root_cause,llm_correct,llm_confidence,rule_root_cause,rule_correct,fix_applied,result,mttr_seconds,manual_baseline,time_saved
auth,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,2.89,900,897.11
cart,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,2.68,900,897.32
payment,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,2.53,900,897.47
inventory,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,2.64,900,897.36
notification,crash,service_crash,service_crash,True,100,service_crash,True,restart,RECOVERED,2.63,900,897.37
auth,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.48,900,897.52
cart,memory,memory_leak,memory_leak,True,80,memory_leak,True,clear_memory,RECOVERED,2.41,900,897.59
payment,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.56,900,897.44
inventory,memory,memory_leak,memory_leak,True,80,memory_leak,True,clear_memory,RECOVERED,2.95,900,897.05
notification,memory,memory_leak,memory_leak,True,90,memory_leak,True,clear_memory,RECOVERED,2.54,900,897.46
auth,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.44,900,897.56
cart,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.48,900,897.52
payment,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.36,900,897.64
inventory,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.48,900,897.52
notification,slow,cpu_overload,cpu_overload,True,90,cpu_overload,True,reduce_load,RECOVERED,2.48,900,897.52
auth,error,error_spike,error_spike,True,80,error_spike,True,retry_with_backoff,RECOVERED,2.38,900,897.62
cart,error,error_spike,error_spike,True,90,error_spike,True,retry_with_backoff,RECOVERED,2.34,900,897.66
payment,error,error_spike,error_spike,True,90,error_spike,True,retry_with_backoff,RECOVERED,2.32,900,897.68
inventory,error,error_spike,error_spike,True,80,error_spike,True,retry_with_backoff,RECOVERED,2.72,900,897.28
notification,error,error_spike,error_spike,True,80,error_spike,True,retry_with_backoff,RECOVERED,2.42,900,897.58
