service,fault_type,expected_root_cause,trials,llm_accuracy,rule_accuracy,recovery_rate,mean_mttr_seconds,stdev_mttr_seconds
auth,crash,service_crash,3,1.0,1.0,1.0,3.24,0.61
cart,crash,service_crash,3,1.0,1.0,1.0,2.85,0.17
payment,crash,service_crash,3,1.0,1.0,1.0,3.18,0.83
inventory,crash,service_crash,3,1.0,1.0,1.0,3.12,0.68
notification,crash,service_crash,3,1.0,1.0,1.0,2.75,0.17
auth,memory,memory_leak,3,1.0,1.0,1.0,3.16,0.61
cart,memory,memory_leak,3,1.0,1.0,1.0,2.88,0.03
payment,memory,memory_leak,3,1.0,1.0,1.0,2.83,0.09
inventory,memory,memory_leak,3,1.0,1.0,1.0,3.15,0.86
notification,memory,memory_leak,3,1.0,1.0,1.0,2.79,0.03
auth,slow,cpu_overload,3,1.0,1.0,1.0,3.35,0.58
cart,slow,cpu_overload,3,1.0,1.0,1.0,3.66,0.53
payment,slow,cpu_overload,3,1.0,1.0,1.0,3.23,0.68
inventory,slow,cpu_overload,3,1.0,1.0,1.0,4.04,0.99
notification,slow,cpu_overload,3,1.0,1.0,1.0,3.05,0.06
auth,error,error_spike,3,1.0,1.0,1.0,3.65,0.37
cart,error,error_spike,3,1.0,1.0,1.0,3.55,0.5
payment,error,error_spike,3,1.0,1.0,1.0,2.97,0.07
inventory,error,error_spike,3,1.0,1.0,1.0,3.4,0.67
notification,error,error_spike,3,1.0,1.0,1.0,3.25,0.66
