service,fault_type,expected_root_cause,trials,llm_accuracy,rule_accuracy,recovery_rate,mean_mttr_seconds,stdev_mttr_seconds
auth,crash,service_crash,3,1.0,1.0,1.0,3.33,0.62
cart,crash,service_crash,3,1.0,1.0,1.0,3.4,0.43
payment,crash,service_crash,3,1.0,1.0,1.0,2.83,0.21
inventory,crash,service_crash,3,1.0,1.0,1.0,3.79,0.84
notification,crash,service_crash,3,1.0,1.0,1.0,3.17,0.58
auth,memory,memory_leak,3,1.0,1.0,1.0,3.78,0.09
cart,memory,memory_leak,3,1.0,1.0,1.0,3.17,0.55
payment,memory,memory_leak,3,1.0,1.0,1.0,3.44,0.58
inventory,memory,memory_leak,3,1.0,1.0,1.0,2.78,0.07
notification,memory,memory_leak,3,1.0,1.0,1.0,3.57,0.5
auth,slow,cpu_overload,3,1.0,1.0,1.0,3.42,0.57
cart,slow,cpu_overload,3,1.0,1.0,1.0,3.62,0.97
payment,slow,cpu_overload,3,1.0,1.0,1.0,4.06,0.99
inventory,slow,cpu_overload,3,1.0,1.0,1.0,4.1,0.05
notification,slow,cpu_overload,3,1.0,1.0,1.0,3.61,0.78
auth,error,error_spike,3,1.0,1.0,1.0,3.99,0.01
cart,error,error_spike,3,1.0,1.0,1.0,3.42,0.52
payment,error,error_spike,3,1.0,1.0,1.0,3.35,0.66
inventory,error,error_spike,3,1.0,1.0,1.0,4.11,1.18
notification,error,error_spike,3,1.0,1.0,1.0,3.31,0.61
